,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
43,Holland Bakery Km 10,Bakery & Pastry,Jl. Soekarno Hatta KM. 10 No. 96 RT. 41,Graha Indah,Balikpapan Utara,v,x,2,2,4,2021,
44,Bakery & Cake New Banana,Bakery & Pastry,JL. SEPINGGAN BARU RT. 32,Sepinggan Baru,Balikpapan Selatan,v,x,2,3,5,2021,
45,Chalista Donat,Bakery & Pastry,JL. NEREKA RT. 17,Sepinggan Baru,Balikpapan Selatan,x,v,0,1,1,2021,
46,Monna Cake,Bakery & Pastry,RUKO BPP REGENCY THE ROYAL H.3 NO.11,Gn. Bahagia,Balikpapan Selatan,v,x,0,2,2,2021,
47,Cahaya Kue,Bakery & Pastry,jl.Gunung 4,Margo Mulyo,Balikpapan Selatan,x,v,0,6,6,2021,
48,Maknyus Donat Kentang,Bakery & Pastry,jl.asrama bukit,Marga Sari,Balikpapan Selatan,x,v,1,3,4,2021,
49,Roti Boy Bandara Sepinggan,Bakery & Pastry,Bandara Sultan Aji MS lt.2 Departure,Sepinggan,Balikpapan Selatan,x,v,1,1,2,2021,
50,Roti Boy Gate D Bandara Sepinggan,Bakery & Pastry,Bandara Sultan Aji MS lt.2 Departure,Sepinggan,Balikpapan Selatan,v,x,1,2,3,2021,
51,The Harvest,Bakery & Pastry,jl.MT.Haryono,Gn. Bahagia,Balikpapan Selatan,v,x,12,6,18,2021,
52,Balikpapan Premio,Bakery & Pastry,jl.MT.Haryono,Sungai Nangka,Balikpapan Selatan,x,v,2,3,5,2021,
53,Sarikaya Bakery,Bakery & Pastry,Mayjen Sutoyo,Klandasan Ilir,Balikpapan Kota,x,x,2,6,8,2021,
54,Hanking D.,Bakery & Pastry,Jl. MT. Haryono,Damai,Balikpapan Selatan,x,x,2,6,8,2021,
55,Laziz Arabic Resto,Bakery & Pastry,Jl. MT. Haryono,Damai,Balikpapan Selatan,x,x,23,25,48,2021,
56,Waroeng Steak & Shake Balikpapan,Bakery & Pastry,Jl. MT. Haryono,Damai,Balikpapan Selatan,x,x,11,0,11,2021,
57,Janji Jiwa Dan Kedai Mat Solar,Bakery & Pastry,Jl. MT. Haryono,Damai,Balikpapan Selatan,x,x,6,7,13,2021,
58,Holland Bakery Mt,Bakery & Pastry,Jl. MT. Haryono,Damai,Balikpapan Selatan,v,x,0,4,4,2021,
59,Rizquna Barebershop,Barbershop,"JL, PEMUDA RT.06 NO 97",Manggar,Balikpapan Timur,v,x,1,0,1,2021,
60,Cut Ro Barbershop,Barbershop,Jl. Impres I RT. 50 No. 67,Muara Rapak,Balikpapan Utara,v,x,5,0,5,2021,
61,Dme Barbershop,Barbershop,Jl. DI Panjaitan Strat I,Gn. Samarinda,Balikpapan Utara,x,v,3,0,3,2021,
62,Five Barbershop,Barbershop,Jl. Indrakila RT. 33 Strat III Kampung Timur,Gn. Samarinda,Balikpapan Utara,v,x,2,0,2,2021,
63,Bbs Barbershop,Barbershop,Jl. Indrakila Strat 3 RT. 29 No. 77,Gn. Samarinda,Balikpapan Utara,v,x,2,0,2,2021,
64,Lucky Barbershop,Barbershop,Jl. Indrakila Kampung Timur RT. 4,Gn. Samarinda Baru,Balikpapan Utara,v,x,2,0,2,2021,
65,Dme Barber,Barbershop,Jl. Indrakila RT. 4,Gn. Samarinda Baru,Balikpapan Utara,v,x,4,0,4,2021,
66,K.J Barbershop,Barbershop,"Jl. Soekarno Hatta KM 2,5 No. 59 RT 36",Gn. Samarinda,Balikpapan Utara,v,x,2,0,2,2021,
67,Zacky Barbershop,Barbershop,Jl. A.W Syahrani,Batu Ampar,Balikpapan Utara,x,v,2,0,2,2021,
68,Clasic Barbershop,Barbershop,Jl. LKMD 1,Batu Ampar,Balikpapan Utara,x,v,1,0,1,2021,
69,Barbershop Cut.Ro,Barbershop,Jl. Soekarno Hatta Km7,Graha Indah,Balikpapan Utara,v,0,3,0,3,2021,
70,Lucky Barbershop,Barbershop,Jl.Ruhui Rahayu,Gn. Bahagia,Balikpapan Selatan,x,v,3,0,3,2021,
