,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
696,Bakso Solo Morong Seneng,Warung,JL. PROKLAMASI RT.38,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
697,Warung Makan Gudeg Bu Ayu,Warung,JL.MULAWARMAN RT.38 NO.44,Manggar,Balikpapan Timur,v,x,2,2,4,2021,
698,Bakso Super,Warung,JL.MULAWARMAN RT.54 NO.72,Manggar,Balikpapan Timur,v,x,3,0,3,2021,
699,Warung Makan Tasbh,Warung,JL.MULAWARMAN RT.54 NO.05,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
700,Soto Ayam H. Muhajir,Warung,JL.MULAWARMAN RT.40,Manggar,Balikpapan Timur,v,x,1,1,2,2021,
701,Depot Kirana,Warung,JL.MULAWARMAN RT.18,Manggar Baru,Balikpapan Timur,v,x,0,1,1,2021,
702,Warung Berkah 2 Putra,Warung,JL.MULAWARMAN RT.12,Lamaru,Balikpapan Timur,x,v,0,1,1,2021,
703,Soto Daging & Kikil,Warung,JL.MULAWARMAN RT.12,Lamaru,Balikpapan Timur,v,x,1,1,2,2021,
704,Soto Ayam Lamongan Cak Man,Warung,JL.MULAWARMAN RT.10 NO.14,Lamaru,Balikpapan Timur,v,x,3,1,4,2021,
705,Warung Adelia,Warung,JL.MULAWARMAN RT.20,Lamaru,Balikpapan Timur,x,v,1,2,3,2021,
706,Bakso Super,Warung,JL.MULAWARMAN RT.22,Lamaru,Balikpapan Timur,x,v,3,0,3,2021,
707,Warung Banjar,Warung,JL.MULAWARMAN RT.05,Lamaru,Balikpapan Timur,v,x,0,1,1,2021,
708,Kedai Chifa,Warung,JL.MULAWARMAN RT.16,Lamaru,Balikpapan Timur,x,v,1,2,3,2021,
709,Jasmine Fried Chicken,Warung,JL.MULAWARMAN RT.16,Lamaru,Balikpapan Timur,v,x,0,1,1,2021,
710,Warung Banjar,Warung,JL.MULAWARMAN RT.02,Lamaru,Balikpapan Timur,v,x,0,1,1,2021,
711,Warung Budi Cuhur,Warung,JL.MULAWARMAN RT.02,Lamaru,Balikpapan Timur,x,v,0,1,1,2021,
712,Warung Makan Banjar Ayla,Warung,JL.MULAWARMAN RT.03,Teritip,Balikpapan Timur,v,x,0,1,1,2021,
713,Warung Pak Ahmad,Warung,JL. MULAWARMAN RT.09 NO.02,Teritip,Balikpapan Timur,v,x,1,0,1,2021,
714,Warung Berkah,Warung,JL. MULAWARMAN RT.27,Teritip,Balikpapan Timur,x,v,0,2,2,2021,
715,Ayam Geprek Dua Putri,Warung,JL. MULAWARMAN RT.22,Lamaru,Balikpapan Timur,x,v,0,2,2,2021,
716,Warung Yuha,Warung,JL. MULAWARMAN RT.25,Lamaru,Balikpapan Timur,v,x,0,2,2,2021,
717,Bakso Solo Pak Tejo,Warung,JL. MULAWARMAN RT.25,Lamaru,Balikpapan Timur,v,x,1,1,2,2021,
718,Warung Bu Ida,Warung,JL. MULAWARMAN RT.01,Lamaru,Balikpapan Timur,v,x,0,2,2,2021,
719,Warung Gangsar,Warung,JL. MULAWARMAN RT.01,Lamaru,Balikpapan Timur,v,x,2,1,3,2021,
720,Bakso Selera 21,Warung,JL.MANGGAR DAMAI RT. 32 RW. 09 NO.01,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
721,Warung Pakdhe & Budhe,Warung,GG.MANGGAR RT.08 NO.29,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
722,Warung Banjar,Warung,JL.MULAWARMAN RT.28 NO.85,Manggar,Balikpapan Timur,v,x,0,1,1,2021,
723,Warung Makan S.N.R,Warung,JL.PROKLAMASI RT.38 NO.18,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
724,Waroeng Srikandi,Warung,JL.PROKLAMASI RT.38,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
725,Bakso Pangsit Ayam,Warung,JL.PJHI RT.21,Manggar,Balikpapan Timur,v,x,0,6,6,2021,
726,Gado-Gado Nabila,Warung,JL.PJHI RT.21,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
727,Casa Drink,Warung,JL.PJHI RT.21,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
728,Molen Mini Mas Bro,Warung,JL.PJHI RT.21,Manggar,Balikpapan Timur,x,v,0,2,2,2021,
729,Bakso Wonogiri,Warung,"JL, MULAWARMAN RT.20",Manggar,Balikpapan Timur,v,x,0,1,1,2021,
730,Warung Ngajeng,Warung,"JL, MULAWARMAN RT.21 NO.81",Manggar,Balikpapan Timur,x,v,0,1,1,2021,
731,Ayam Goreng Bu Tuti,Warung,"JL, MULAWARMAN RT.52",Manggar,Balikpapan Timur,v,x,1,1,2,2021,
732,Hisana Fried Ckhicken,Warung,JL. MULAWARMAN RT.12 NO.02,Batakan,Balikpapan Selatan,v,x,1,0,1,2021,
733,Mie Ayam Bakso Solo Borneo,Warung,JL. MULAWARMAN RT.02,Batakan,Balikpapan Selatan,x,v,1,0,1,2021,
734,Mandiri Sederhana Seafood,Warung,JL.MULAWARMAN RT.33 NO.35,Sepinggan,Balikpapan Selatan,v,x,6,3,9,2021,
735,Coto Makassar Dilar H. Kasim,Warung,JL.MULAWARMAN SAMPING AURI RT.32 NO.02,Sepinggan Raya,Balikpapan Selatan,x,v,2,0,2,2021,
736,Warung Tulung Agung,Warung,JL.MULAWARMAN RT.27 NO.39,Sepinggan Raya,Balikpapan Selatan,x,v,0,2,2,2021,
737,Ayam Penyet Sambel Dancok,Warung,JL.MULAWARMAN,Sepinggan Raya,Balikpapan Selatan,x,v,0,2,2,2021,
738,Bakso Dan Mie Ayam Gangsar,Warung,JL. MARSMA R. ISWAHYUDI RT.25,Sepinggan Raya,Balikpapan Selatan,v,x,4,0,4,2021,
739,Sate Kambing & Gulai An-Nimah,Warung,JL. MARSMA R. ISWAHYUDI RT.25 NO.10,Sepinggan Raya,Balikpapan Selatan,v,x,0,1,1,2021,
740,Mie Pangsit Podomoro,Warung,JL. MARSMA R. ISWAHYUDI RT.25,Sepinggan Raya,Balikpapan Selatan,v,x,0,2,2,2021,
741,Warung Madiun,Warung,JL. MARSMA R. ISWAHYUDI RT.23,Sepinggan Raya,Balikpapan Selatan,v,x,0,4,4,2021,
742,"Bakso Dan Mie Ayam ""Solo Hot""",Warung,JL. MARSMA R. ISWAHYUDI RT.23 NO.111,Sepinggan Raya,Balikpapan Selatan,v,x,2,1,3,2021,
743,King Soto,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,0,2,2,2021,
744,Nasi Kuning H.Dawet,Warung,Jl.Ledjen Suprapto Rt.17 No.06,Marga Sari,Balikpapan Barat,v,x,0,4,4,2021,
745,Warung Padang Palapa,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,1,1,2,2021,
746,Depot Krisna,Warung,Jl.Pandan Wangi,Marga Sari,Balikpapan Barat,x,v,0,1,1,2021,
747,Warung Ikan Bakar,Warung,Jl.Semoi,Marga Sari,Balikpapan Barat,x,v,0,1,1,2021,
748,Warung Makan Pontianak,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,0,7,7,2021,
749,Bakso Solo Prikili,Warung,Jl.Adil Makmur,Baru Ulu,Balikpapan Barat,x,v,1,0,1,2021,
750,Depot Sop Saudara,Warung,Jl.Ledjen Suprapto,Baru Tengah,Balikpapan Barat,x,v,0,3,3,2021,
751,Kedai Kita,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,v,x,2,2,4,2021,
752,Soto Lamongan Kebun Sayur,Warung,Jl.Mekar Sari,Baru Ilir,Balikpapan Barat,x,v,0,3,3,2021,
753,Warkop Sappo,Warung,Jl.Adil Makmur Rt.20 No.18,Baru Ilir,Balikpapan Barat,x,v,7,3,10,2021,
754,Warung Makan Nasi Campur,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,2,2,2021,
755,Warung Santai,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,2,2,4,2021,
756,Rumah Makan Ariza Sativa,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,2,2,2021,
757,Rumah Makan Tenda Biru,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,2,1,3,2021,
758,Rumah Makan Langka Baru,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,2,2,2021,
759,Warung Yasmin,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,2,2,2021,
760,Warung Mama Eko,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,2,2,2021,
761,Rumah Makan Banjar Indah,Warung,Jl.Wain,Baru Ilir,Balikpapan Barat,x,v,0,1,1,2021,
762,Depot Ibu Kota,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,1,0,1,2021,
763,Rumah Makan Nasgor Om Gundul,Warung,Jl.Ledjen Suprapto,Marga Sari,Balikpapan Barat,x,v,1,0,1,2021,
764,Bakso Depot Mini,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,3,0,3,2021,
765,Angkringan P&M,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,1,0,1,2021,
766,Ayamku,Warung,Jl.Sultan Hasanudin,Baru Tengah,Balikpapan Barat,x,v,2,0,2,2021,
767,Bakso Ardo Moro,Warung,Jl.Pelajar,Baru Tengah,Balikpapan Barat,x,v,0,2,2,2021,
768,Rumah Makan Segiri,Warung,Jl.Ledjen Suprapto,Baru Tengah,Balikpapan Barat,x,v,0,2,2,2021,
769,Warung Melati Putih,Warung,Jl.Adil Makmur,Baru Ilir,Balikpapan Barat,x,v,0,1,1,2021,
770,Ayam Geprek Dapur Chef,Warung,Jl.Ahmad Yani,Karang Jati,Balikpapan Barat,x,v,0,1,1,2021,
771,Warung Soto Lamongan,Warung,Jl.Ahmad Yani,Karang Jati,Balikpapan Barat,x,v,0,2,2,2021,
772,Warkop Cabondeng,Warung,Jl.Ledjen Suprapto,Mekar Sari,Balikpapan Barat,x,v,2,0,2,2021,
773,Ayam Geprek Prasojo,Warung,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,x,v,0,1,1,2021,
774,Warung Makan Torani,Warung,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,v,x,26,22,48,2021,
775,Bakso & Mie Ayam Karisma,Warung,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,x,v,0,2,2,2021,
776,Ayam Geprek Al-Ikhlas,Warung,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,x,v,0,2,2,2021,
777,Warung Padaidi,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,0,2,2,2021,
778,Bakso & Mie Ayam Lek Jar,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,0,4,4,2021,
779,Warung Gresik,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,0,4,4,2021,
780,Hot Kodong,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,3,3,6,2021,
781,Kuma Boba,Warung,Jl.Jend.Sudirman,Damai Baru,Balikpapan Selatan,x,v,0,2,2,2021,
782,Warung Yona,Warung,Jl.Jend.Sudirman RT.25,Damai Bahagia,Balikpapan Selatan,x,v,0,2,2,2021,
783,Kopi Daeng,Warung,Jl.Marsma R.Iswahyudi,Damai Bahagia,Balikpapan Selatan,x,v,3,7,10,2021,
784,Warung Padang Upik,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,5,3,8,2021,
785,Pondok Gaul,Warung,Jl.Marsma R.Iswahyudi,Gn. Bahagia,Balikpapan Selatan,x,v,0,6,6,2021,
786,Soponyo Suroboyo 88,Warung,Jl.Marsma R.Iswahyudi,Gn. Bahagia,Balikpapan Selatan,x,v,0,6,6,2021,
787,Ayam Geprek Lalapan Bu Wahyu,Warung,Jl.Marsma R.Iswahyudi,Gn. Bahagia,Balikpapan Selatan,x,v,0,2,2,2021,
788,Warung Sederhana,Warung,Jl.Marsma R.Iswahyudi,Sungai Nangka,Balikpapan Selatan,x,v,3,1,4,2021,
789,Warung Bu Noning,Warung,Jl. Sudirman,Prapatan,Balikpapan Kota,v,x,0,2,2,2021,
790,Serobong,Warung,JL. Serobong,Prapatan,Balikpapan Kota,x,v,0,2,2,2021,
791,Warung Warti Djuari,Warung,JL.PNW,Klandasan Ulu,Balikpapan Kota,x,v,1,1,2,2021,
792,Bakso Serobong,Warung,JL. Srobong,Prapatan,Balikpapan Kota,x,v,1,1,2,2021,
793,Warung Makan Mba Sur,Warung,JL. Srobong,Prapatan,Balikpapan Kota,x,v,0,1,1,2021,
794,Warung Garuda,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,v,0,2,2,2021,
795,Warung Putri Ponorogo,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
796,Warung Soto Madura,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,3,3,2021,
797,Warung Samping Kantor Pos,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
798,Warung Lumayan Ponorogo,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
799,Warung Ponorogo Asli,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
800,Warung Banyumas 123,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
801,Warung Ikan Bakar,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,2,2,2021,
802,Istana Ikan Bakar,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,v,x,0,3,3,2021,
803,Warung Makan Awi,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,v,0,3,3,2021,
804,Nasi Campur,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,v,2,4,6,2021,
805,Warung Makan Dewi,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,x,5,1,6,2021,
806,Warung 94,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,x,5,1,6,2021,
807,Warung Setiawan,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,v,1,2,3,2021,
808,Warung Fajar,Warung,JL. Tanjung Pura 1,Klandasan Ulu,Balikpapan Kota,x,v,0,2,2,2021,
809,Coto Makassar Praikate,Warung,JL. Yoshidarso No.03,Prapatan,Balikpapan Kota,x,v,0,3,3,2021,
810,Warung Bulele,Warung,JL. Srobong No.01,Prapatan,Balikpapan Kota,v,x,0,3,3,2021,
811,Warung Antasari,Warung,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,x,v,0,2,2,2021,
812,Bakso Mie Ayam Garuda,Warung,Jl. Milono,Gn. Pasir,Balikpapan Kota,x,x,0,2,2,2021,
813,Mie Ayam Bakso Gunung Pasir,Warung,Jl. Kapten Tendean,Gn. Pasir,Balikpapan Kota,x,x,0,4,4,2021,
814,Warung Chantika,Warung,Jl. Kapten Tendean,Gn. Pasir,Balikpapan Kota,x,x,0,6,6,2021,
815,Warung Kopi Simpang,Warung,Jl.ahnad yani no.16 rt.54,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,0,1,2021,
816,Coto Warkop Celebes,Warung,Jl. Ahmad Yani Rt. 55 no. 29,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
817,Warung D' Garazi,Warung,Jl. Mekar sari rt.33 no.28,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,4,4,2021,
818,Rm.Geprek,Warung,Jl.mekar sari,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
819,Coto Ayam Lamongan,Warung,Jl.mekar sari,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
820,Warung Makan Bakso Mekar Sari,Warung,Jl.mekar sari,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
821,B' Rasa Banjar,Warung,Jl.mekar sari rt.32 no.3,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,0,1,2021,
822,Wm.Khoirul,Warung,Jl.mekar sari rt.32 no.7,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,0,1,2021,
823,Wm.Segar,Warung,Jl.ahmad yani rt.11 no.57,Gn. Sari Ilir,Balikpapan Tengah,x,v,3,3,6,2021,
824,Wr.Bakso Ojo Lali,Warung,Jl.bunga matahari rt.01 no.20,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
825,Wr.Kopi Maryati,Warung,Jl.kartini no 2 rt 36,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
826,"Wm,Pisang Gapit Maryati",Warung,"Jl,kartini no 2 rt. 36",Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
827,Wm.Pak Karde,Warung,Jl.ra kartini rt.36 no.52,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,2,3,2021,
828,Warung Minum Tentang Kamu,Warung,Jl.ra kartini,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
829,Ayam Geprek Goody,Warung,Jl. Mekar Sari,Gn. Sari Ilir,Balikpapan Tengah,x,v,5,7,12,2021,
830,Chua Mie Outlet,Warung,Jl. Mekar Sari,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
831,Cita Rasa Soto Makasar,Warung,Jl. Mejen Sutoyo,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
832,Bubur Ayam Jakarta,Warung,Jl Mejen Sutoyo,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
833,New Basinggah,Warung,Jl. Mejen Sutoyo,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
834,Nasi Kuning Ibu Ina,Warung,Jl. Banjar,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
835,Warung Alcin,Warung,Jl. Banjar,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
836,Warung Kediri,Warung,Jl. Mejen Sutoyo,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,1,1,2021,
837,Soto Ayam Lamongan,Warung,Jl. Mejen Sutoyo Rt. 4 No. 10,Gn. Sari Ilir,Balikpapan Tengah,x,v,0,2,2,2021,
838,Tahu Bakso Pak Agus,Warung,Jl. Kapt.P. Tendean,Gn. Sari Ilir,Balikpapan Tengah,x,x,1,3,4,2021,
839,Raja Jos,Warung,Jl. Pembangunan,Gn. Sari Ilir,Balikpapan Tengah,x,x,2,2,4,2021,
840,Rm.Bebek Yummy,Warung,Jl.ahmad yani,Gn. Sari Ilir,Balikpapan Tengah,x,x,2,1,3,2021,
841,"Rm,Coto Makkasar Begadang",Warung,Jl.ahmad yani,Gn. Sari Ilir,Balikpapan Tengah,x,x,0,2,2,2021,
842,Rm.Nasi Bebek Tugu Pahlawan,Warung,Jl.ahmad yani,Gn. Sari Ilir,Balikpapan Tengah,x,x,2,0,2,2021,
843,Bakso Dan Mie Ayam Lekmin,Warung,gajah mada,Gn. Sari Ilir,Balikpapan Tengah,x,v,1,1,2,2021,
844,Wm.Bakso Solo Raya Eko,Warung,Jl.mekar sari,Gn. Sari Ilir,Balikpapan Tengah,x,x,0,2,2,2021,
845,Depo Mr.Koki Acang,Warung,Jl.ahmad yani,Gn. Sari Ilir,Balikpapan Tengah,x,x,2,0,2,2021,
846,Warung Family,Warung,Jl. Klamono Gunung Pipa,Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
847,Warung Blora,Warung,Jl. Sorong 1,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
848,Warung Bubur Ayam Bandung Mang Aep,Warung,Jl. Klamono Gunung Pipa RT. 72 No. 6,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
849,Warung Ibu Tatum,Warung,Jl. Telindung RT.6,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
850,Warung Kopi,Warung,Jl. Telindung RT. 88,Muara Rapak,Balikpapan Utara,v,x,0,2,2,2021,
851,Warung Anis,Warung,Jl. Telindung RT. 15 No. 61,Batu Ampar,Balikpapan Utara,v,x,0,3,3,2021,
852,Warung Soto Lamongan Pak Mus,Warung,Jl. Klamono Gunung Pipa,Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
853,Warung Soto Lamongan,Warung,Jl. Klamono Gunung Pipa,Muara Rapak,Balikpapan Utara,x,v,1,0,1,2021,
854,Warung Kopi 2 Bersaudara,Warung,Jl. Klamono Gunung Pipa No. 5 RT. 72,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
855,Kedai Masbros,Warung,Jl. Telindung No. 13 RT. 6,Muara Rapak,Balikpapan Utara,x,v,2,3,5,2021,
856,Warung Tiga Putro,Warung,Jl. Telindung RT. 6,Muara Rapak,Balikpapan Utara,v,x,1,1,2,2021,
857,Teras Food,Warung,Jl. Meranti Raya No. 32,Batu Ampar,Balikpapan Utara,x,v,0,1,1,2021,
858,Depot Nasi Goreng Nganjuk,Warung,Jl. Perumnas Blok 5 no. 62 RT. 15,Batu Ampar,Balikpapan Utara,v,x,1,2,3,2021,
859,Warung Ayam Goreng Mak Ebo,Warung,Jl. Impres II RT. 18 No. 37,Muara Rapak,Balikpapan Utara,v,x,0,2,2,2021,
860,Warung Fikri,Warung,Jl. Impres II RT. 18 No. 43,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
861,Warung Bakso Lestari,Warung,Jl. Impres II RT. 18,Muara Rapak,Balikpapan Utara,v,x,3,0,3,2021,
862,Warung Kopi Bu Yani,Warung,Jl. Impres II RT. 18 No. 30,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
863,Warung Nasi Goreng Mas Affan,Warung,Jl. Impres II RT. 19 No. 1,Muara Rapak,Balikpapan Utara,v,x,1,1,2,2021,
864,Zidan Chicken,Warung,Jl. Impres II RT. 19,Muara Rapak,Balikpapan Utara,v,x,1,0,1,2021,
865,Miting Minda,Warung,Jl. Impres III TK Nusantara,Muara Rapak,Balikpapan Utara,x,v,0,2,2,2021,
866,Warung Mie Ayam,Warung,Jl. Impres II RT. 48 No. 1,Muara Rapak,Balikpapan Utara,x,v,1,0,1,2021,
867,Warung Padang Citra Rasa,Warung,Jl. Impres II RT. 48 No. 39,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
868,Takoyaki Syafiera Japanesse Street Food,Warung,Jl. Impres II RT. 23 No. 129,Muara Rapak,Balikpapan Utara,x,v,1,3,4,2021,
869,Warung Bu Joko,Warung,Jl. Borobudur I RT. 41 No. 19,Muara Rapak,Balikpapan Utara,v,x,1,1,2,2021,
870,Warung Pojoks Perang,Warung,Jl. Borobudur I RT. 41 No. 48,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
871,Warung Lalapan,Warung,Rapak Plaza KKD 8,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
872,Warung Sederhana,Warung,"Jl. Soekarno Hatta KM 0,5",Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
873,Warung Soto Ayam Lamongan,Warung,"Jl. Soekarno Hatta KM 0,5",Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
874,Warung Kopi Rakyat,Warung,"Jl. Soekarno Hatta KM 0,5",Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
875,Warung Lamongan,Warung,Rapak Plaza KKC 10,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
876,Sumber Rezeki,Warung,Rapak Plaza KKC 1-5,Muara Rapak,Balikpapan Utara,v,x,0,6,6,2021,
877,Pondok Ayam Panggang Zhafira,Warung,Rapak Plaza Pasar Blok KKG 1-2,Muara Rapak,Balikpapan Utara,v,x,0,1,1,2021,
878,Warung Makan Amanah,Warung,Rapak Plaza Pasar Blok Lantai 1,Muara Rapak,Balikpapan Utara,x,v,0,2,2,2021,
879,Warung Madiun,Warung,Jl. DI Panjaitan No. 16 RT.3 Strat 1,Gn. Samarinda,Balikpapan Utara,x,v,0,2,2,2021,
880,Cobek Nenek,Warung,Jl. Inpres II RT. 18 No. 7,Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
881,Warung Kayla,Warung,Jl. Inpres II RT. 18,Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
882,Warung Pangkep M. Rizky,Warung,Jl. Inpres II RT.18,Muara Rapak,Balikpapan Utara,x,v,1,2,3,2021,
883,Warung Pojok Inpres 2,Warung,Jl. Inpres II RT. 23,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
884,Depot Aman,Warung,Jl. Inpres II RT. 23,Muara Rapak,Balikpapan Utara,v,x,1,1,2,2021,
885,Kedai Fm,Warung,Jl. Inpres I RT. 22 No.1,Muara Rapak,Balikpapan Utara,x,v,0,1,1,2021,
886,Warung Ikan Bakar Acil Ida,Warung,Jl. Inpres III RT. 20,Muara Rapak,Balikpapan Utara,x,v,0,3,3,2021,
887,Dapoer Ny. Neeta,Warung,Jl. Inpres II No. 16 RT. 46,Muara Rapak,Balikpapan Utara,v,x,4,0,4,2021,
888,Mie Nyemek,Warung,Jl. Inpres II RT. 48 No. 17,Muara Rapak,Balikpapan Utara,v,x,2,1,3,2021,
889,Kedai Dafa Burger,Warung,Jl. Inpres II RT. 23 No. 133,Muara Rapak,Balikpapan Utara,v,x,0,5,5,2021,
890,Soto Lamongan Cak Min,Warung,Jl. Soekarno Hatta Km.1,Muara Rapak,Balikpapan Utara,x,v,1,1,2,2021,
891,Ayam Nenek Gubel,Warung,"Jl. Soekarno Hatta KM. 1,5",Muara Rapak,Balikpapan Utara,x,v,1,0,1,2021,
892,Warung Lalapan Rindu,Warung,Jl. DI Panjaitan No. 2 RT.3,Gn. Samarinda,Balikpapan Utara,v,x,1,2,3,2021,
893,Pempek Bang Iwan,Warung,Jl. DI Panjaitan Strat 1 No. 13 RT. 3,Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2021,
894,Bakwan Malang,Warung,Jl. DI Panjaitan Strat 1,Gn. Samarinda,Balikpapan Utara,x,v,1,0,1,2021,
895,Coto Makassar Hj. Kasim,Warung,Jl. DI Panjaitan RT. 5 No. 3,Gn. Samarinda,Balikpapan Utara,x,v,0,1,1,2021,
896,Kedai Wati,Warung,Jl. DI Panjaitan Strat I RT. 5 No. 5,Gn. Samarinda,Balikpapan Utara,v,x,0,2,2,2021,
897,Mie Kocok Yamin,Warung,Jl. DI Panjaitan No. 1 RT.6,Gn. Samarinda,Balikpapan Utara,v,x,5,0,5,2021,
898,Bakso Dan Mie Ayam Strat I,Warung,Jl. DI Panjaitan Strat I RT. 3 No. 20,Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2021,
899,Warung Pak Basuki,Warung,Jl. Dua RT. 018 No. 21 C,Gn. Samarinda,Balikpapan Utara,v,x,1,1,2,2021,
900,Sumber Rezeki Bakso & Mie Ayam,Warung,Jl. DI Panjaitan Strat I RT. 48,Gn. Samarinda,Balikpapan Utara,x,v,3,3,6,2021,
901,Kedai Omah Kayu,Warung,Jl. Indrakila RT. 29 No. 44 Strat 3,Gn. Samarinda,Balikpapan Utara,v,x,1,1,2,2021,
